# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "4" "-p" "-t" "exon" "-g" "gene_id" "-a" "reference/gencode.v44.annotation.gtf" "-o" "counts/gene_counts.txt" "aligned/SRR1039508_sorted.bam" "aligned/SRR1039509_sorted.bam" "aligned/SRR1039510_sorted.bam" "aligned/SRR1039511_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	aligned/SRR1039508_sorted.bam	aligned/SRR1039509_sorted.bam	aligned/SRR1039510_sorted.bam	aligned/SRR1039511_sorted.bam
ENSG00000188290.11	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	998962;998964;998966;998970;999526;999526;999526;999526;999692;999692;999866;999866	999432;999432;999432;999432;1000096;999613;999613;999613;999787;1000172;999981;1000097	-;-;-;-;-;-;-;-;-;-;-;-	1118	23	52	20	47
ENSG00000187608.10	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1001138;1001145;1008194;1008194;1013497;1013984;1013984;1013984	1001281;1001263;1008279;1008279;1013576;1014540;1014540;1014435	+;+;+;+;+;+;+;+	867	633	470	413	336
ENSG00000231702.2	chr1	1008076	1008229	-	154	0	0	0	0
ENSG00000224969.1	chr1;chr1	1011997;1012917	1012190;1013193	-;-	471	0	2	2	0
ENSG00000188157.15	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1020120;1020123;1022201;1022201;1034106;1034106;1034867;1035277;1035277;1035277;1035277;1040665;1040665;1040665;1040665;1040665;1041173;1041173;1041173;1041173;1041173;1041478;1041478;1041478;1041478;1041956;1041956;1041956;1041956;1043239;1043239;1043239;1043239;1043538;1043538;1043538;1043538;1043823;1043823;1043823;1043823;1044109;1044109;1044109;1044109;1044334;1044334;1044334;1044334;1045161;1045161;1045161;1045161;1045359;1045359;1045359;1045359;1045399;1045733;1045733;1045733;1045733;1045733;1045964;1045964;1045964;1045964;1045964;1046160;1046160;1046160;1046160;1046160;1046397;1046397;1046397;1046397;1046820;1046820;1046820;1046820;1047201;1047327;1047327;1047327;1047327;1047475;1047573;1047573;1047573;1047573;1047573;1047776;1047776;1047776;1047776;1047776;1047776;1048012;1048012;1048012;1048012;1048529;1048867;1048867;1048867;1048867;1049236;1049236;1049236;1049236;1049236;1049566;1049566;1049566;1049566;1049903;1049903;1049903;1049903;1050233;1050233;1050233;1050233;1050427;1050427;1050427;1050427;1050726;1050726;1050726;1050726;1051032;1051032;1051253;1051253;1051253;1051253;1051453;1051453;1051453;1051453;1051728;1051728;1051728;1051728;1051986;1051993;1051993;1053461;1053461;1053753;1053753;1053753;1053753;1054448;1054448;1054448;1054448;1054448;1054824;1054824;1054824;1054824;1054824	1020373;1020373;1022462;1022462;1034703;1034703;1035324;1035324;1035324;1035324;1035324;1040880;1040880;1040880;1040880;1040880;1041397;1041397;1041397;1041397;1041397;1041702;1041702;1041702;1041702;1042162;1042162;1042162;1042162;1043457;1043457;1043457;1043457;1043732;1043732;1043732;1043732;1044023;1044023;1044023;1044023;1044257;1044257;1044257;1044257;1044439;1044439;1044439;1044439;1045277;1045277;1045277;1045277;1045523;1045523;1045523;1045523;1045523;1045876;1045876;1045876;1045876;1045876;1046088;1046088;1046088;1046088;1046088;1046349;1046265;1046265;1046265;1046265;1046735;1046735;1046735;1046735;1046957;1046957;1046957;1046957;1047454;1047454;1047454;1047454;1047454;1047687;1047687;1047687;1047687;1047687;1047687;1047838;1047865;1047895;1047895;1047895;1047895;1048365;1048365;1048365;1048365;1049059;1049059;1049059;1049059;1049059;1049394;1049451;1049451;1049451;1049451;1049795;1049795;1049795;1049795;1050037;1050037;1050037;1050037;1050329;1050329;1050329;1050329;1050591;1050591;1050591;1050591;1050837;1050837;1050837;1050837;1051043;1051043;1051369;1051369;1051369;1051369;1051645;1051645;1051645;1051645;1051815;1051815;1051815;1051815;1053977;1052016;1052016;1053493;1053493;1053977;1053977;1053977;1053977;1054551;1054551;1054551;1054551;1054551;1056112;1056116;1056116;1056118;1056116	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10761	4537	3440	4373	3128
ENSG00000242590.1	chr1;chr1	1055033;1055898	1055215;1056116	+;+	402	0	0	0	0
ENSG00000291156.1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1059687;1059693;1059700;1059700;1059708;1059729;1059730;1059734;1060277;1060277;1060277;1060277;1060277;1060280;1060280;1061020;1063079;1063079;1063079;1063079;1064206;1064495;1064518;1065830;1065830;1065830;1065830;1065830;1065830;1065830;1065830;1065949;1065949	1059782;1059782;1059782;1059782;1059782;1059846;1060393;1059846;1060393;1060393;1060393;1060393;1060393;1060393;1060393;1061117;1063201;1063201;1063201;1063201;1064401;1064589;1064589;1066274;1066456;1066441;1066453;1066451;1066459;1066449;1066456;1066441;1066382	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1849	0	6	2	3
ENSG00000273443.1	chr1;chr1	1062208;1063061	1062808;1063288	-;-	829	0	0	0	0
ENSG00000217801.13	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1063079;1063480;1064210;1064490;1065352;1066587;1067566;1067869;1068577;1069208	1063201;1063566;1064401;1064589;1065475;1066667;1067646;1068003;1068724;1069355	+;+;+;+;+;+;+;+;+;+	1219	0	2	1	1
ENSG00000237330.3	chr1;chr1	1070967;1074016	1072575;1074306	-;-	1900	0	0	2	0
ENSG00000131591.18	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1081818;1081823;1081823;1081823;1081825;1081825;1081825;1082146;1082235;1082604;1082700;1082916;1083915;1083915;1083915;1083915;1083915;1083915;1083915;1083926;1084353;1084353;1084353;1084353;1084353;1084353;1084353;1084481;1084481;1084481;1084481;1084481;1084481;1084481;1084481;1084481;1085251;1085878;1085878;1085878;1085878;1085878;1085878;1085878;1085878;1085878;1085878;1085878;1087139;1087139;1087139;1087139;1087139;1087139;1087139;1087139;1087139;1087139;1087139;1087139;1087141;1087190;1087502;1087502;1087502;1087502;1087502;1087502;1087502;1087502;1087502;1087502;1087502;1087502;1087502;1087575;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090406;1090876;1091046;1091278;1091278;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091500;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1092566;1092566;1105956;1105956;1105956;1106650;1115022;1115022;1116060;1116060;1116060;1116060;1116060;1116060;1116060;1116060;1116060;1116060;1116060	1082987;1082987;1082987;1082987;1082987;1082987;1084506;1082253;1082987;1082987;1082987;1082987;1084011;1084383;1084072;1084383;1084086;1084086;1084383;1084086;1084383;1084383;1084383;1084383;1084383;1084383;1084506;1084506;1084506;1084506;1084506;1084506;1084506;1084506;1084506;1084506;1085310;1086012;1086012;1086012;1086012;1086012;1086012;1086012;1086012;1086012;1086012;1086012;1087204;1087204;1087204;1087204;1087204;1087204;1087204;1087636;1087204;1087204;1087204;1087204;1087204;1087204;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1090428;1090428;1090587;1090428;1090428;1090428;1090428;1090428;1091374;1090428;1090428;1090428;1090428;1090428;1090428;1090983;1091565;1091374;1091374;1091565;1091565;1091609;1091565;1091565;1091565;1091565;1091565;1092174;1091565;1091565;1091565;1091565;1091565;1091565;1091565;1092103;1092103;1092103;1092103;1092294;1092103;1092103;1092103;1092103;1092103;1092103;1092103;1092103;1092103;1092077;1092103;1092813;1092813;1106049;1106049;1106127;1106871;1115075;1115075;1116089;1116087;1116361;1116356;1116243;1116095;1116089;1116089;1116095;1116089;1116081	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6322	219	222	195	266
ENSG00000285812.1	chr1;chr1	1097585;1104033	1098113;1104598	+;+	1095	1	3	4	4
ENSG00000223823.1	chr1;chr1;chr1	1137017;1140825;1142739	1137110;1141032;1144056	+;+;+	1620	0	0	0	0
ENSG00000207730.3	chr1	1167104	1167198	+	95	0	0	0	0
ENSG00000207607.3	chr1	1167863	1167952	+	90	0	0	0	0
ENSG00000198976.1	chr1	1169005	1169087	+	83	0	0	0	0
ENSG00000272141.1	chr1	1169357	1170343	+	987	0	2	0	0
ENSG00000205231.1	chr1;chr1	1173056;1179365	1176396;1179555	-;-	3532	0	0	0	0
ENSG00000162571.14	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1173880;1173880;1173884;1173898;1174216;1174266;1174285;1174424;1174424;1174424;1174521;1179189;1179189;1179189;1179657;1179657;1179657;1179697;1180034;1180034;1180034;1180034;1180483;1180483;1180483;1180484;1180537;1180731;1180731;1180731;1180731;1181741;1181741;1181741;1181741;1182361;1182361;1182361;1182361;1182876;1182876;1182876;1182876;1183920;1183920;1183920;1183920;1184969;1184969;1184969;1185036;1196386;1196600;1196600;1196600;1197093;1197093;1197093;1197438;1197438;1197438	1173926;1173926;1173926;1173926;1174321;1174321;1174321;1174489;1174489;1174489;1175034;1179333;1179333;1179333;1179737;1179737;1179737;1179853;1180340;1180174;1180340;1180340;1180601;1180601;1180601;1180860;1180601;1180884;1180860;1180860;1180860;1181815;1181815;1181815;1181815;1182446;1182446;1182446;1182446;1183047;1183047;1183047;1183047;1183927;1184091;1184091;1184091;1185864;1185109;1185109;1185109;1196488;1196716;1196716;1196716;1197186;1197186;1197186;1197475;1197936;1197936	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3998	0	0	0	0
ENSG00000186891.14	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1203508;1203508;1203844;1203844;1204034;1204034;1204055;1204399;1204399;1204399;1204399;1205370;1205370;1205370;1205370;1206385;1206385;1206385	1203968;1203960;1203968;1203968;1204236;1204236;1204236;1204486;1204486;1204486;1204486;1205492;1205680;1205492;1205492;1206571;1206571;1206592	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1271	2	0	8	0
ENSG00000186827.12	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1211326;1211340;1211340;1211340;1211340;1211340;1211340;1211340;1211340;1211340;1211340;1211344;1211345;1211704;1211704;1211704;1211704;1211704;1211704;1211704;1211704;1211704;1211704;1211942;1211942;1211942;1211942;1211942;1211942;1211942;1211942;1211942;1212019;1212080;1212638;1212638;1212638;1212638;1212638;1212638;1212638;1212638;1212638;1212638;1212638;1212862;1212862;1212992;1212992;1212992;1212992;1212992;1212992;1212992;1212992;1212992;1212992;1212992;1212992;1213395;1213663;1213663;1213663;1213663;1213663;1213663;1213663;1213663;1213663;1213706;1213775;1213983;1213983;1213983;1213983;1213983;1213983;1213983;1213983;1213983;1213983;1213983;1213983;1213983	1211625;1211625;1211625;1211832;1211625;1211625;1211625;1211625;1211625;1211625;1211832;1211625;1211625;1211832;1211832;1211832;1211832;1211832;1211832;1212138;1211832;1211832;1211832;1212138;1212138;1212138;1212138;1212138;1212138;1212138;1212138;1212138;1212138;1212138;1212704;1212704;1212704;1212704;1212704;1212704;1212704;1212704;1212704;1212704;1212704;1213093;1213093;1213093;1213093;1213093;1213093;1213093;1213093;1213093;1213785;1213093;1213093;1213785;1213093;1213498;1213785;1213785;1213785;1213785;1213785;1213785;1213785;1213785;1213785;1213785;1213785;1214152;1214153;1214153;1214153;1214153;1214153;1214153;1214153;1214153;1214153;1214138;1214133;1214153	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1975	8	0	0	4
ENSG00000078808.20	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1216931;1216931;1216931;1216932;1216934;1218458;1218458;1218458;1218458;1218458;1218523;1218769;1218769;1218769;1218769;1218769;1223244;1223244;1223244;1223244;1223832;1223832;1223832;1223832;1227272;1228468;1228468;1228468;1228468;1228468;1231892;1231892;1231892;1231892	1217804;1217804;1217688;1217688;1217688;1218633;1218633;1220293;1218633;1218633;1218633;1219005;1221351;1218927;1218943;1218927;1223357;1223357;1223357;1223357;1223968;1223968;1223968;1223968;1227319;1228946;1228596;1228946;1228946;1228946;1231968;1232031;1232031;1232001	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4686	8781	8388	8651	7929
ENSG00000176022.7	chr1	1232237	1235041	+	2805	858	773	758	807
ENSG00000184163.3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1242446;1242449;1242453;1242835;1242835;1242835;1243062;1243062;1243266;1243444;1243954;1243954;1243981;1244191;1244381;1244381;1244381;1246514	1242646;1242646;1242646;1243158;1242913;1242913;1243152;1243463;1243552;1243552;1244275;1244105;1244275;1244275;1244724;1244418;1244497;1246722	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1794	17	17	22	10
ENSG00000260179.1	chr1	1249777	1251334	-	1558	4	9	4	2
ENSG00000160087.21	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1253909;1253912;1253914;1254985;1255048;1255164;1255178;1255264;1255268;1255395;1255439;1256045;1256045;1256045;1256045;1256045;1256045;1256045;1256045;1256045;1256045;1256045;1256049;1256992;1256992;1256992;1256992;1256992;1256992;1256992;1256992;1256992;1256992;1256992;1256992;1257011;1257049;1257122;1257208;1257208;1257208;1257208;1257208;1257208;1257208;1257208;1257208;1257208;1257208;1257208;1257208;1257208;1257227;1257270;1262170;1262269;1262269;1262853;1263346;1263346;1263346;1263346;1263346;1263346;1263346;1263346;1263346;1263346;1263346;1263346;1263346;1263346;1263346;1263346;1264783;1264783;1266098;1266098;1267733;1267733;1267733;1267733;1267862;1267862;1267862;1267862;1267862;1267862;1267862;1267862;1267862;1267862;1267862;1271510;1272853;1273377;1273499;1273499;1273499;1273666;1273666;1273666;1273666;1273666;1273666;1273666;1273666;1273666;1273666;1273666;1273666;1273666	1255487;1255487;1255487;1255487;1255487;1255487;1255487;1255487;1255487;1255487;1255487;1256125;1256125;1256335;1256125;1256125;1256125;1256125;1256125;1256125;1256125;1256125;1256125;1257130;1257130;1257130;1257130;1257130;1257130;1257130;1257130;1257130;1257130;1257130;1257130;1257130;1257130;1257130;1257310;1257310;1257310;1257310;1257310;1257310;1257310;1257310;1257310;1257310;1257310;1257310;1257310;1257310;1257310;1257310;1262390;1262390;1262390;1263386;1263386;1263386;1263569;1263386;1263386;1263386;1263386;1263386;1263386;1263386;1263386;1263386;1263386;1263386;1263386;1263386;1264830;1264830;1266290;1266290;1267992;1267992;1267992;1267992;1267992;1267992;1267992;1267992;1267992;1267992;1267992;1267992;1267992;1267992;1267992;1271637;1273471;1273844;1273837;1273790;1273726;1273837;1273854;1273854;1273833;1273815;1273827;1273849;1273833;1273864;1273855;1273854;1273854;1273853	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4691	1222	1210	1203	1175
